Era,Feature,Base,Lag,r,p,sig,n,target
Pre-ZLB,finbert_MP_mean:lag13,finbert_MP_mean,13,0.0773,0.6794,,31,MRO_diff
Pre-ZLB,finbert_MP_mean:lag14,finbert_MP_mean,14,0.0094,0.9608,,30,MRO_diff
Pre-ZLB,finbert_MP_mean:lag15,finbert_MP_mean,15,0.0868,0.6542,,29,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag1,roberta_IS_EP_max,1,0.5844,0.0004,***,33,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag2,roberta_IS_EP_max,2,0.7163,0.0,***,33,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag3,roberta_IS_EP_max,3,0.6653,0.0,***,33,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag4,roberta_IS_EP_max,4,0.5806,0.0004,***,33,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag5,roberta_IS_EP_max,5,0.4912,0.0043,**,32,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag6,roberta_IS_EP_max,6,0.1461,0.4249,,32,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag7,roberta_IS_EP_max,7,0.3079,0.0864,,32,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag8,roberta_IS_EP_max,8,0.0467,0.7997,,32,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag9,roberta_IS_EP_max,9,0.1725,0.3453,,32,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag10,roberta_IS_EP_max,10,-0.0574,0.7551,,32,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag11,roberta_IS_EP_max,11,-0.0981,0.5994,,31,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag12,roberta_IS_EP_max,12,-0.1761,0.3433,,31,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag13,roberta_IS_EP_max,13,-0.2203,0.2337,,31,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag14,roberta_IS_EP_max,14,-0.2984,0.1092,,30,MRO_diff
Pre-ZLB,roberta_IS_EP_max:lag15,roberta_IS_EP_max,15,0.0167,0.9315,,29,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag1,finbert_QA_MP_mean,1,0.5405,0.0012,**,33,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag2,finbert_QA_MP_mean,2,0.4345,0.0115,*,33,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag3,finbert_QA_MP_mean,3,0.2207,0.2172,,33,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag4,finbert_QA_MP_mean,4,0.5481,0.001,***,33,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag5,finbert_QA_MP_mean,5,0.1952,0.2844,,32,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag6,finbert_QA_MP_mean,6,0.1778,0.3302,,32,MRO_diff
Pre-ZLB,finbert_QA_MP_mean:lag7,finbert_QA_MP_mean,7,0.2234,0.219,,32,MRO_diff
